epoch,loss,test_acc
1,0.32858840,0.947800
2,0.16646346,0.960100
3,0.12060134,0.967200
4,0.09444376,0.970400
5,0.07795399,0.975200
6,0.06550524,0.975000
7,0.05588666,0.978900
8,0.04813686,0.978300
9,0.04256878,0.977500
10,0.03735625,0.980800
11,0.03267724,0.979600
12,0.02910474,0.980400
13,0.02586744,0.980000
14,0.02303599,0.980300
15,0.02057884,0.981100
16,0.01865335,0.980100
17,0.01688567,0.981200
18,0.01519478,0.981400
19,0.01378928,0.982000
20,0.01256761,0.981800
21,0.01142746,0.981900
22,0.01040453,0.981700
23,0.00968679,0.982100
24,0.00878033,0.981900
25,0.00821666,0.982400
26,0.00749275,0.982100
27,0.00701672,0.982000
28,0.00651974,0.982300
29,0.00615810,0.982400
30,0.00569345,0.982600
31,0.00542045,0.982200
32,0.00506106,0.982700
33,0.00478541,0.982700
34,0.00451347,0.982500
35,0.00428155,0.982000
36,0.00404365,0.981800
37,0.00385420,0.982400
38,0.00367971,0.982700
39,0.00351704,0.982000
40,0.00336631,0.981900
41,0.00324102,0.982800
42,0.00312538,0.982200
43,0.00298272,0.981600
44,0.00286330,0.982600
45,0.00276016,0.982500
46,0.00264805,0.982200
47,0.00257871,0.982300
48,0.00248328,0.982600
49,0.00241688,0.982400
50,0.00232140,0.982400
