epoch,loss,test_acc
1,0.32858135,0.947800
2,0.16645542,0.960500
3,0.12060048,0.967300
4,0.09444794,0.970300
5,0.07798537,0.975400
6,0.06552703,0.974700
7,0.05591213,0.979200
8,0.04813121,0.978200
9,0.04256162,0.977300
10,0.03731993,0.981000
11,0.03265345,0.979600
12,0.02915844,0.980500
13,0.02588745,0.979800
14,0.02304445,0.980500
15,0.02060748,0.981300
16,0.01866888,0.980400
17,0.01692860,0.981200
18,0.01520552,0.981600
19,0.01379219,0.981900
20,0.01257873,0.981800
21,0.01143825,0.981900
22,0.01042284,0.982100
23,0.00969093,0.982200
24,0.00879846,0.982400
25,0.00821696,0.982300
26,0.00751550,0.981900
27,0.00703435,0.982000
28,0.00653286,0.982400
29,0.00617406,0.982300
30,0.00570538,0.982800
31,0.00543261,0.982200
32,0.00506937,0.982500
33,0.00479947,0.982900
34,0.00452167,0.982500
35,0.00429178,0.981900
36,0.00405121,0.982300
37,0.00386010,0.982300
38,0.00368357,0.982500
39,0.00352263,0.982500
40,0.00337035,0.982400
41,0.00324553,0.982900
42,0.00312790,0.982400
43,0.00298476,0.981600
44,0.00286622,0.982500
45,0.00276185,0.982300
46,0.00265115,0.982100
47,0.00258079,0.982200
48,0.00248481,0.982700
49,0.00241753,0.982600
50,0.00232120,0.982500
